,Models,Potential Risk in Currency,Risk Factor,Number of wrong predictions,False Negatives
0,gbc_2class,247608.89999999997,0.7660250406317436,147,100
1,gbc_2class_upsample,190178.69999999995,0.5883538370179431,178,63
2,gbc_4class,277095.3,0.857246805108238,145,105
3,gbc_4class_upsample,168376.3,0.52090398224346,191,64
4,hgbc_4class,246049.50000000003,0.761200741309865,157,89
5,hgbc_4class_upsample,236796.05,0.7325734407070441,167,90
6,hgbc_4class_upsample_class_weight1,187950.34999999998,0.5814600141412544,168,76
7,hgbc_4class_upsample_class_weight2,188011.1,0.5816479557750907,197,65
8,hgbc_4class_upsample_class_weight3,186503.44999999995,0.5769837548820351,193,69
9,hgbc_4class_upsample_class_weight4,185005.19999999995,0.5723486346697709,190,77
